doppler_bin_minutes,range_bin_minutes,min_joint_rows,max_station_bias_per_channel,n_rows_joint,n_rows_range,n_rows_doppler,beta_dyn,beta_sigma,beta_z_from_1,status_data,status_sigma,replay_status,replay_dyn_status,replay_lt_status,replay_z_delta_beta,replay_dyn_z_delta_beta,replay_lt_z_delta_beta,replay_delta_beta,score
80,60,120,14,1547,562,985,399.3573769527737,208.0902758024091,1.9143488344983095,pass,watch,pass,pass,pass,1.9571653261565023,1.9571653261565023,2.0446348174405086e-05,407.2682664827239,2165.2556019589115
80,60,120,16,1547,562,985,399.3573769527737,208.0902758024091,1.9143488344983095,pass,watch,pass,pass,pass,1.9571653261565023,1.9571653261565023,2.0446348174405086e-05,407.2682664827239,2165.2556019589115
80,60,120,20,1547,562,985,399.3573769527737,208.0902758024091,1.9143488344983095,pass,watch,pass,pass,pass,1.9571653261565023,1.9571653261565023,2.0446348174405086e-05,407.2682664827239,2165.2556019589115
80,60,150,14,1547,562,985,399.3573769527737,208.0902758024091,1.9143488344983095,pass,watch,pass,pass,pass,1.9571653261565023,1.9571653261565023,2.0446348174405086e-05,407.2682664827239,2165.2556019589115
80,60,150,16,1547,562,985,399.3573769527737,208.0902758024091,1.9143488344983095,pass,watch,pass,pass,pass,1.9571653261565023,1.9571653261565023,2.0446348174405086e-05,407.2682664827239,2165.2556019589115
80,60,150,20,1547,562,985,399.3573769527737,208.0902758024091,1.9143488344983095,pass,watch,pass,pass,pass,1.9571653261565023,1.9571653261565023,2.0446348174405086e-05,407.2682664827239,2165.2556019589115
80,60,180,14,1547,562,985,399.3573769527737,208.0902758024091,1.9143488344983095,pass,watch,pass,pass,pass,1.9571653261565023,1.9571653261565023,2.0446348174405086e-05,407.2682664827239,2165.2556019589115
80,60,180,16,1547,562,985,399.3573769527737,208.0902758024091,1.9143488344983095,pass,watch,pass,pass,pass,1.9571653261565023,1.9571653261565023,2.0446348174405086e-05,407.2682664827239,2165.2556019589115
80,60,180,20,1547,562,985,399.3573769527737,208.0902758024091,1.9143488344983095,pass,watch,pass,pass,pass,1.9571653261565023,1.9571653261565023,2.0446348174405086e-05,407.2682664827239,2165.2556019589115
80,60,220,14,1547,562,985,399.3573769527737,208.0902758024091,1.9143488344983095,pass,watch,pass,pass,pass,1.9571653261565023,1.9571653261565023,2.0446348174405086e-05,407.2682664827239,2165.2556019589115
80,60,220,16,1547,562,985,399.3573769527737,208.0902758024091,1.9143488344983095,pass,watch,pass,pass,pass,1.9571653261565023,1.9571653261565023,2.0446348174405086e-05,407.2682664827239,2165.2556019589115
